,polarity,subjectivity,filtered_polarity,filtered_subjectivity,Open,High,Low,Close,Volume,Market Cap
2019-10-12,0.03774955436720142,0.26848930481283423,0,1,7397.13422776,7424.02286377,7246.04375293,7278.119783300001,18249031194.8933,131696121854.857
2019-10-13,-0.06313131313131314,0.24141414141414141,0,1,8336.90223051,8470.98789038,8276.61224603,8321.00574668,13808286058.975,149700817938.865
2019-10-14,0.09257575757575758,0.27990530303030303,0,1,8320.83224411,8390.20904169,8284.13119151,8374.6864467,15151387859.0232,150680499056.444
2019-10-15,0.013720238095238091,0.18586309523809524,0,0,8373.45825537,8410.71471368,8182.70662559,8205.36931588,15220412631.575,147650082214.972
2019-10-16,-0.0074949494949494875,0.25397979797979797,0,1,8204.67452005,8216.81221666,7985.08963712,8047.52686305,16071646995.521002,144823993562.285
2019-10-17,0.0304853041695147,0.17486329460013672,0,0,8047.81274259,8134.8314486,8000.94263465,8103.91137325,14313052244.0844,145853994297.969
2019-10-18,-0.04133089133089134,0.2388125763125763,0,1,8100.93361588,8138.41371165,7902.16409743,7973.20744597,15651592610.2237,143517630375.763
2019-10-19,0.06388888888888888,0.2546296296296296,0,1,7973.8037681000005,8082.62930791,7944.7770508,7988.56044241,13797825640.2423,143808163806.88
2019-10-20,0.03838383838383838,0.23484848484848486,0,1,7997.8070221,8281.81863723,7949.43922655,8222.07826034,15504249442.1065,148026597063.944
2019-10-21,0.005655938264633914,0.34707086391869,0,1,8225.11518823,8296.69397668,8196.41634287,8243.72113905,15868748865.705,148432733155.222
2019-10-22,0.024225955204216075,0.2494902440554614,0,1,8243.40209165,8296.65115115,8074.46280468,8078.20332194,16803377856.538,145469660005.416
2019-10-23,0.03484250398724083,0.2517703349282297,0,1,8076.22846601,8092.99949202,7469.32269922,7514.67201276,21942878957.5397,135337364281.804
2019-10-24,0.04395586297760211,0.1819828722002635,0,0,7509.72818274,7532.86765606,7446.98855091,7493.48873154,16268708848.7612,134968410276.47801
2019-10-25,0.03336861259655377,0.24655005941770647,0,1,7490.70317641,8691.53999754,7479.98432283,8660.70063696,28705065488.2505,156006603607.064
2019-10-26,0.001455026455026454,0.1310846560846561,0,0,8667.57715496,10021.743983,8662.62237955,9244.97220867,44496255608.7526,166547360781.636
2019-10-27,0.10939393939393939,0.27424242424242423,0,1,9241.70707513,9749.52966634,9112.54182017,9551.7149631,32593129500.7442,172087039875.447
2019-10-28,0.0567878787878788,0.2935151515151515,0,1,9565.10188348,9805.11808945,9256.14838876,9256.14838876,30948255331.8234,166777392742.458
2019-10-29,0.061187878787878784,0.19678181818181817,0,0,9248.440562200001,9516.18104772,9232.64808578,9427.68758384,28426779937.4131,169883866262.332
2019-10-30,0.045193602693602695,0.22203423120089788,0,1,9422.4633254,9426.87421747,9085.370356799998,9205.72655905,27706531577.461002,165899500650.49
2019-10-31,0.054382102272727266,0.23189867424242425,0,1,9202.45758879,9383.16089153,9028.71744031,9199.58483269,26583653946.6317,165804227834.59
2019-11-01,0.06720202020202021,0.24330303030303033,0,1,3674.01543102,3713.88184691,3653.06980474,3687.3654818000005,5538712864.65637,64443301116.571
2019-11-02,0.006889204545454544,0.2708806818181818,0,1,3695.61303928,3695.61303928,3642.28773261,3648.43062774,6277056433.57185,63968390249.9939
2019-11-03,0.031818181818181815,0.2840909090909091,0,1,3953.74017402,3966.38473672,3889.23913266,3905.22731979,10125901902.7266,68666928025.4743
2019-11-04,0.007539682539682533,0.24761904761904763,0,1,5325.08155529,5354.22546556,5017.29640976,5064.48767243,16555616019.1146,89341168456.888
2019-11-05,0.27626262626262627,0.4171717171717172,1,1,6379.66690526,7333.00312262,6375.69861161,7204.77169716,28867562329.2995,127488435181.246
2019-11-06,-0.000694444444444442,0.1329861111111111,0,0,8004.24354228,8026.3942184,7772.80393035,7927.71435114,17107279931.9857,140748537529.853
2019-11-07,0.024716054554764236,0.18715728715728713,0,0,12139.713837899999,12144.6227945,11158.922814200001,11358.661752,28595327690.1018,202324174691.693
2019-11-08,0.03428030303030302,0.24393939393939393,0,1,11349.739894299999,11523.5793784,11248.2948234,11523.5793784,15774371517.9934,205941632234.684
2019-11-09,0.10102272727272728,0.2548674242424242,0,1,10123.0347321,10215.9477875,9980.77667261,10178.371889299999,15428063426.0714,182502788242.499
